[M, N, K]	[kTM, kTN, kTK]	[kWarpPerRow, kWarpPerCol]	CublasTime(ms)	CutlassTime(ms)	Ratio
[4096, 4096, 32]	[64, 32, 32]	[2, 2]	0.0300	0.0234	0.7812
[4096, 4096, 32]	[64, 64, 32]	[2, 2]	0.0299	0.0235	0.7860
[4096, 4096, 32]	[64, 256, 32]	[2, 2]	0.0298	0.0248	0.8333
[4096, 4096, 2048]	[64, 32, 32]	[2, 2]	0.2722	0.6160	2.2632
[4096, 4096, 2048]	[64, 64, 32]	[2, 2]	0.2726	0.4394	1.6121
[4096, 4096, 2048]	[64, 256, 32]	[2, 2]	0.2725	0.4232	1.5527
[4096, 4096, 2048]	[128, 256, 64]	[2, 2]	0.2723	0.9141	3.3573
[4096, 4096, 2048]	[128, 128, 32]	[2, 2]	0.2719	0.3756	1.3814
[4096, 4096, 2048]	[128, 64, 32]	[2, 2]	0.2731	0.3719	1.3616
[4096, 4096, 2048]	[64, 128, 32]	[2, 2]	0.2723	0.3757	1.3796
[4096, 4096, 2048]	[128, 32, 32]	[2, 2]	0.2726	0.5341	1.9591
[4096, 4096, 2048]	[32, 64, 32]	[2, 2]	0.2726	0.6373	2.3381
[4096, 4096, 2048]	[128, 256, 128]	[2, 2]	0.2725	0.8610	3.1591
[4096, 4096, 2048]	[256, 128, 128]	[2, 2]	0.2728	1.0876	3.9863
[4096, 4096, 2048]	[64, 256, 128]	[2, 2]	0.2737	0.4840	1.7688
[4096, 4096, 2048]	[128, 128, 128]	[2, 2]	0.2733	0.3472	1.2708
[4096, 4096, 2048]	[128, 64, 64]	[2, 2]	0.2724	0.3522	1.2926
[4096, 4096, 2048]	[64, 128, 64]	[2, 2]	0.2728	0.3566	1.3072
